parking_segment_id,district_id,district_name,description,fare_description,has_charging_point,geometry_available,legal_answer_eligible,source_text_review_status,source_text_review_note
169,taoyuan-district,Taoyuan,縣府路園區(桃園區公所-民安路含調查局周邊),"一般小型車格 週一至週五 09:00~18:00收費 第一30分鐘收費20元，第二30分鐘收費20元，第三30分鐘收費25元,一般小型車格 週一至週五 07:00~09:00收費 20元/30分鐘,一般小型車格 週一至週五 18:00~20:00收費 20元/30分鐘,一般小型車格 週六至週日 18:00~20:00收費 0元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,Approved by project owner after human review; status applied by Codex on 2026-07-17.
170,taoyuan-district,Taoyuan,中華路(中正路-三民路三段),"一般小型車格 週一至週日 07:00~20:00收費 第一30分鐘收費20元，第二30分鐘收費20元，第三30分鐘收費25元,",false,false,false,APPROVED_SOURCE_TEXT,Approved by project owner after human review; status applied by Codex on 2026-07-17.
171,taoyuan-district,Taoyuan,南華街(復興路-中山路),"一般小型車格 週一至週日 07:00~20:00收費 第一30分鐘收費20元，第二30分鐘收費20元，第三30分鐘收費25元,",false,false,false,APPROVED_SOURCE_TEXT,Approved by project owner after human review; status applied by Codex on 2026-07-17.
172,taoyuan-district,Taoyuan,民生路一(復興路-中山路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,Approved by project owner after human review; status applied by Codex on 2026-07-17.
173,taoyuan-district,Taoyuan,中山路(民生路-民族路),"一般小型車格 週一至週日 07:00~20:00收費 第一30分鐘收費20元，第二30分鐘收費20元，第三30分鐘收費25元,",false,false,false,APPROVED_SOURCE_TEXT,Approved by project owner after human review; status applied by Codex on 2026-07-17.
174,taoyuan-district,Taoyuan,三民路一(中山路-春日路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,Approved by project owner after human review; status applied by Codex on 2026-07-17.
176,taoyuan-district,Taoyuan,成功路前(中正路-春日路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,Approved by project owner after human review; status applied by Codex on 2026-07-17.
177,taoyuan-district,Taoyuan,民族路(復興路-三民路),"一般小型車格 週一至週日 07:00~20:00收費 第一30分鐘收費20元，第二30分鐘收費20元，第三30分鐘收費25元,",false,false,false,APPROVED_SOURCE_TEXT,Approved by project owner after human review; status applied by Codex on 2026-07-17.
178,taoyuan-district,Taoyuan,中正路2(中山路-慈文路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,Approved by project owner after human review; status applied by Codex on 2026-07-17.
179,taoyuan-district,Taoyuan,中山東路一(民生路-春日路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,Approved by project owner after human review; status applied by Codex on 2026-07-17.
180,taoyuan-district,Taoyuan,大興西路一(經國路-永安路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,Approved by project owner after human review; status applied by Codex on 2026-07-17.
182,taoyuan-district,Taoyuan,復興路(萬壽路-中山路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,Approved by project owner after human review; status applied by Codex on 2026-07-17.
